orderID,customerID,employeeID,productID,orderTotal,orderDate
1005,8,2,6,299.80,2024-08-01
1016,6,3,1,1250.00,2024-08-01
1042,6,3,6,149.90,2024-08-01
1031,8,1,5,148.00,2024-08-02
1011,6,3,2,25.50,2024-08-03
1025,6,4,3,89.99,2024-08-03
1034,8,2,3,269.97,2024-08-03
1003,3,4,1,1250.00,2024-08-05
1023,3,1,4,320.00,2024-08-05
1028,8,2,5,148.00,2024-08-06
1013,2,1,1,1250.00,2024-08-07
1021,7,4,1,2500.00,2024-08-07
1022,1,3,3,89.99,2024-08-07
1006,2,1,1,1250.00,2024-08-08
1029,3,2,3,179.98,2024-08-08
1010,5,1,4,960.00,2024-08-09
1015,7,2,1,3750.00,2024-08-09
1032,2,1,1,2500.00,2024-08-09
1008,4,2,5,222.00,2024-08-10
1038,4,1,1,1250.00,2024-08-10
1039,6,2,5,74.00,2024-08-12
1004,2,1,5,148.00,2024-08-13
1012,2,1,4,320.00,2024-08-13
1014,1,4,4,960.00,2024-08-13
1030,4,2,2,76.50,2024-08-13
1033,4,4,6,149.90,2024-08-14
1037,1,3,1,2500.00,2024-08-15
1041,3,1,5,74.00,2024-08-16
1001,8,4,5,148.00,2024-08-17
1019,8,2,2,51.00,2024-08-17
1007,1,3,4,640.00,2024-08-19
1027,6,4,3,89.99,2024-08-19
1002,4,4,2,76.50,2024-08-20
1026,2,2,2,25.50,2024-08-20
1009,8,1,1,2500.00,2024-08-21
1020,4,2,6,299.80,2024-08-21
1035,3,4,2,51.00,2024-08-21
1017,7,2,1,1250.00,2024-08-23
1036,2,2,3,89.99,2024-08-24
1040,3,3,4,960.00,2024-08-24
1024,4,3,4,320.00,2024-08-25
1018,2,1,1,2500.00,2024-08-26
